,Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
343,Kura-kura papua,0,0,0,0,1,0,0
344,Laba-laba,0,0,0,0,0,0,0
345,Laba-Laba,0,0,0,0,0,0,0
346,Laba-Laba Besar,0,0,0,0,0,0,0
347,Lacertilia,0,0,0,0,0,0,0
348,Lalage atrovirens,0,0,0,0,0,16,1
349,Lalage leucomela,0,0,0,0,0,0,4
351,Lalage nigra,0,0,0,0,0,0,0
352,Lalat babi,0,0,0,0,0,0,0
353,Lanius schach,0,0,0,0,0,0,0
354,Laptocorisa acuta,0,0,0,0,0,0,0
355,Leiopython albertisii,0,0,0,0,0,0,2
356,Lepidiota stigma,0,0,0,0,0,0,0
357,Leprolapis smarangdina,0,0,0,0,0,0,0
358,Leptocoma sperata,0,0,0,4,0,0,0
359,Leptocorisa acuta,0,0,0,1,0,0,0
360,Leptoptilos javanicus,0,0,1,0,0,0,0
361,Lialis burtonis,0,0,0,0,0,0,0
362,Liasis fuscus,0,0,0,0,0,0,0
363,Limacodidae,0,0,0,0,0,0,0
364,Liopeltis tricolor,0,1,0,2,0,0,0
365,Lipan,0,0,0,0,0,0,0
366,Litoria infrafrenata,0,0,0,0,0,1,2
367,Locusta migratoria,0,0,0,0,0,0,0
368,Locustella fasciolata,0,0,0,0,0,0,0
369,Lonchura fuscans,0,0,0,0,0,0,0
370,Lonchura maja,0,0,0,0,0,0,0
371,Lonchura punctulata,0,0,0,0,0,0,0
372,Lonchura tristissima,0,0,0,0,0,0,0
373,Lophotriorchis kienerii,0,0,0,0,0,2,0
374,Lophura erythrophthalma,0,0,0,0,0,0,0
375,Loriculus aurantiifrons,0,0,0,0,0,0,0
376,Loriculus galgulus,0,1,0,0,0,0,0
377,Lorius lory,0,0,0,0,9,23,187
378,Lutra sp.,0,1,0,0,0,0,0
379,Lutrinae,0,0,0,0,0,0,0
380,Lutrogale perspicillata,0,0,0,0,0,0,0
381,Lutung,0,0,0,0,0,0,0
382,Lycodon capucinus,0,0,0,1,0,0,0
383,Lyssa zampa,0,0,0,0,0,0,0
384,Lyssa Zampa,0,0,0,0,0,0,0
385,Macaca fascicularis,2,9,156,148,0,0,0
386,Macaca nemestrina,0,2,0,35,0,0,0
387,Macroglossum regulus,0,0,0,0,0,0,0
388,Macropsita pusio,0,0,0,0,0,0,0
389,Macropygia amboinensis,0,0,0,0,0,18,6
390,Macropygia nigrirostris,0,0,0,0,0,0,0
391,Mahasena carbetti,0,0,0,0,0,0,0
392,Malayopython reticulatus,0,0,0,8,0,0,0
393,Malurus alboscapulatus,0,0,0,0,0,2,0
394,Malurus cyanocephalus,0,0,0,0,0,9,19
395,Manucodia ater,0,0,0,0,1,6,0
397,Megaderma spasma,0,0,0,0,0,0,0
398,Megalaima australis,0,0,0,0,0,0,0
399,Megalaima australis duvaucelii,0,0,0,0,0,0,0
400,Megalaima raflesii,0,0,0,0,0,0,0
401,Megapodius freycinet,0,0,0,0,0,0,0
402,Megapodius reinwardt,0,0,0,0,0,0,0
403,Melidora macrorrhina,0,0,0,0,0,0,1
404,Melilestes megarhynchus,0,0,0,0,0,0,0
405,Meliphaga analoga,0,0,0,0,0,8,0
407,Meliphaga aruensis,0,0,0,0,0,0,3
408,Meliphaga flaviristus,0,0,0,0,0,0,0
409,Melloria quoyi,0,0,0,0,0,0,1
410,Melpihaga montana,0,0,0,0,0,0,21
411,Merops leschenaulti,0,0,0,0,0,0,0
412,Merops ornatus,0,0,0,0,0,0,0
413,Merops viridis,0,0,0,0,0,0,0
414,Merops philippinus,0,0,1,0,0,0,0
415,Microcarbo melanoleucos,0,0,0,0,0,5,0
416,Microhierax fringillarius,0,2,0,0,0,0,0
417,Micropechis ikaheca,0,0,0,0,0,0,0
418,Micropsitta pusio,0,0,0,0,0,0,31
419,Milvus migrans,0,0,0,0,0,0,3
420,Mino anais,0,0,0,0,0,0,0
422,Mino dumontii,0,0,0,0,3,24,25
423,Mixornis gularis,0,0,0,0,0,0,0
424,Monyet,0,0,0,0,0,0,0
425,Morelia amethistina,0,0,0,0,1,0,0
426,Morelia viridis,1,0,0,0,0,0,0
427,Motacilla cinerea,0,1,0,0,0,0,0
429,Motacilla tschutschensis,0,0,0,0,0,0,2
430,Muntiacus muntjak,0,0,0,0,0,0,0
431,Musca domestica,0,0,0,0,0,0,0
432,Muscicapa griseisticta,0,0,0,0,0,0,0
433,Mustela nudipes,0,0,0,1,0,0,0
434,Mycalesis Persus Caesonia,0,0,0,0,0,0,0
435,Mycalesis visala,0,0,0,1,0,0,0
436,Myiagra alecto,0,0,0,0,0,0,3
437,Mysomela ningrita,0,0,0,0,0,0,0
438,Naja sputratrix,12,0,0,0,0,0,0
439,Naja sumatrana,0,2,0,1,0,0,0
440,Nannosciurus melanotis,0,0,0,23,0,0,0
441,Nectarinia aspasia,0,0,0,0,0,11,37
442,Nectarinia jugularis,0,0,1,0,0,4,18
443,Nephila inaurata,0,0,0,0,0,0,0
444,Neptis hylas,0,0,0,4,0,0,0
445,Nettapus pulchellus,0,0,0,0,0,2,0
446,Neurothemis fluctuans,0,0,0,3,0,0,0
447,Neurothemis stigmatizans,0,0,0,0,0,0,0
449,Neurothemis stigmatizans,0,0,0,0,0,0,0
450,Neurothemis terminata,0,0,0,0,0,0,0
451,Ninox connivens,0,0,0,0,0,0,0
452,Ninox rufa,0,0,0,0,0,0,0
453,Nisaetus cirrhatus,0,0,0,8,0,0,0
454,Nisaetus nanus,0,0,0,0,0,0,0
455,Nucras caesicaudata,0,0,0,0,0,0,0
456,Nuri,0,0,0,0,0,0,0
457,Nycticorax caledonicus,0,0,0,0,0,0,4
458,Nyctormis amictus,0,0,0,0,0,0,0
459,Nyticorax nyticorax,0,0,0,0,0,0,0
460,Occidozyga sumatrana,0,0,0,0,0,0,0
461,Oecophylla Sp,0,0,0,1,0,0,0
462,Oligodon octolineatus,0,0,0,0,0,0,0
463,Onichoprion anaethetus,0,0,0,0,0,0,0
464,Ophiophagus hannah,1,0,0,0,0,0,0
465,Ophiophagus sp.,0,0,0,0,0,0,0
466,Oreochromis niloticus,0,0,0,0,0,0,0
467,Oriens Gola,0,0,0,0,0,0,0
468,Oriolus chinensis,0,0,0,0,0,0,0
469,Oriolus sp,0,0,0,0,0,0,0
470,Orlitia borneensis,0,0,0,0,0,0,0
471,Orthetrum sabina,0,0,0,0,0,0,0
472,Orthotomus ruficeps,0,0,0,0,0,0,0
473,Orthotomus sp,0,0,0,0,0,0,0
474,Oryctes Rhinoceros,0,0,0,0,0,0,0
475,Oryga Deffinita,0,0,0,0,0,0,0
476,Orygyia Definta,0,0,0,0,0,0,0
477,Otus lempiji,0,0,0,0,0,0,0
478,Oxya serville,0,0,0,0,0,0,0
479,Oxya Yezoensis,0,0,0,0,0,0,0
480,Papilio demoleus,0,0,0,0,0,0,0
481,Papilio machaon,0,0,0,0,0,0,1
482,papilio memnon,0,0,0,0,0,0,0
483,Paradoxurus hermaphroditus,0,0,0,0,0,0,0
484,Paradoxurus sp,0,0,0,0,0,0,0
485,Parambassis siamensis,0,0,0,0,0,0,0
486,Parias hageni,0,0,0,0,0,0,0
487,Parus major,0,0,0,0,0,0,0
488,Passer domesticus,0,0,3,0,0,0,32
489,Passer montanus,0,0,0,0,0,0,0
490,Paysandisia archon,0,0,0,0,0,0,0
491,Pelargopsis Capensis,0,1,2,4,0,0,0
492,Pellorneum capistratum,0,0,0,0,0,0,0
493,Peltops blainvillii,0,0,0,0,0,15,0
494,Peltops montanus,0,0,0,0,0,0,0
495,Perameles nasuta,0,0,0,0,2,1,2
496,Pericrocotus miniatus,0,0,0,0,0,0,0
497,Petaurus breviceps,0,0,0,0,0,0,0
498,Phaenicophaeus curvirostris,0,0,0,0,0,0,0
499,Phaenicophaeus diardi,0,0,0,0,0,0,0
500,Phalacrocorax sulcirostris,0,0,0,0,0,0,0
501,Phalanger orientalis,0,0,0,0,0,0,0
502,Philemon buceroides,0,0,0,0,0,19,27
503,Phyllergates cucullatus,0,0,0,0,0,0,0
504,Phylloscopus trivirgatus,0,0,0,0,0,0,0
505,Phyton,0,0,0,0,0,0,0
506,Phyton molurus,0,0,0,0,0,0,0
507,Picidae,0,1,0,0,0,0,0
508,Picus puniceus,0,0,0,2,0,0,0
509,Pitta erythrogaster macklotii,0,0,0,0,0,0,1
510,Pitta moluccensis,0,0,40,0,0,0,4
511,Pitta sordida,0,0,1,0,0,0,0
512,Pityriasis gymnocephala ,0,0,0,0,0,0,0
513,Platylpornia flavida,0,0,0,0,0,0,0
514,Ploceus montanus,0,0,0,0,0,0,0
515,Pluvialis fulva,0,0,0,0,0,0,4
516,Podargus papuensis,0,0,0,0,0,0,0
517,Pongo pygmaeus wurmbii,0,0,0,14,0,0,0
518,Presbytis frontata,0,0,0,0,0,0,0
519,Presbytis melalophos,0,0,0,0,0,0,0
520,Presbytis rubicunda,0,0,0,2,0,0,0
521,Prinia atrogularis,0,1,0,0,0,0,0
522,Prinia familiaris,0,1,0,0,0,0,0
523,Prinia flaviventris,0,0,0,0,0,0,0
524,Prinia superciliaris,0,0,0,0,0,0,0
525,Prionailurus bengalensis,9,1,0,0,0,0,0
526,Prionodon Linsang,0,0,1,0,0,0,0
527,Probosciger aterimus,0,0,0,0,1,4,7
528,Pseudorectes ferrugineus,0,0,0,0,0,0,8
529,Psittacula alexandri,0,0,0,0,0,0,0
530,Psittacula longicauda,54,1,1,2,0,0,0
531,Psittaculata sp,0,0,0,0,0,0,0
532,Psittaculirostris desmarestii,0,0,0,0,0,0,0
533,Pteropus vampyrus,0,0,1,0,0,0,60
535,Ptilinopus aurantifrons,0,0,0,0,0,0,28
536,Ptilinopus coronulatus,0,0,0,0,0,7,0
537,Ptilinopus iozonus,0,0,0,0,0,23,27
538,Ptilinopus magnificus,0,0,0,0,0,0,0
539,Ptilinopus nanus,0,0,0,0,0,0,0
540,Ptilinopus pulchellus,0,0,0,0,0,0,0
541,Pycnonotus aurigaster,14,1,0,0,0,0,0
542,Pycnonotus erythrophthalmos,0,0,0,0,0,0,0
543,Pycnonotus Eutilotus,0,0,0,0,0,0,0
544,Pycnonotus goiavier,0,0,3,0,0,0,0
545,Pycnonotus melanicterus,0,0,0,0,0,0,0
546,Pycnopygius ixoides,0,0,0,0,0,0,0
547,Pyrrhocoridae,0,0,0,0,0,0,0
548,Python breitensteini,0,0,0,0,0,0,0
549,Python curtus,0,0,0,0,0,0,0
550,Python reticulatus,0,0,0,0,0,0,0
551,Rallina fasciata,0,0,0,0,0,0,0
552,Rallus torquatus,0,0,0,0,0,0,0
553,Ramsayornis modestus,0,0,0,0,0,0,2
554,Rangkong,0,0,0,0,0,0,0
555,Rangkong putih,0,0,0,0,0,0,0
556,Rattus tiomanicus,0,0,0,0,0,0,0
557,Ratufa affinis,0,0,0,0,0,0,0
558,Ratufa bicolor,0,0,0,0,0,0,0
559,Rayap,0,0,0,0,0,0,0
560,Rhinoplax vigil,0,0,0,2,0,0,0
562,Rhipidura albolimbata,0,0,0,0,0,0,1
563,Rhipidura atra,0,0,0,0,0,1,0
564,Rhipidura javanica,65,1,0,0,0,0,0
565,Rhipidura leucophrys,0,0,0,0,1,10,1
566,Rhipidura maculipectus,0,0,0,0,0,0,4
567,Rhodothemis rufa,0,0,0,4,0,0,0
568,Rhynchophorus papuanus,0,0,0,0,0,0,0
569,Rhyticeros plicatus,0,0,0,0,2,36,126
570,Ruak ruak,0,0,0,0,0,0,0
571,Rusa unicolor,0,0,0,0,0,0,0
572,Salticidae,0,0,0,0,0,0,0
573,Sanca,0,0,0,0,0,0,0
574,Sarang semut papua,0,0,0,0,2,0,0
575,Scandentia sp,0,0,0,0,0,0,0
576,Scincidae,0,0,0,0,0,0,0
577,Scolopendra cataracta,0,0,0,0,0,0,0
578,Scorpion,0,0,0,0,0,0,0
579,Scythrops novaehollandiae,0,0,0,0,0,0,1
580,Seleucidis melanoleucus,0,0,0,0,0,1,0
581,Serangga,0,0,0,0,0,0,0
582,Serangga Bumbelbe,0,0,0,0,0,0,0
583,Setora Nitens,0,0,0,0,0,0,0
584,Siput,0,0,0,0,0,0,0
585,Sphenomorphus sp.,0,0,0,0,0,0,0
586,Spilocuscus maculatus,0,0,0,0,0,0,0
587,Spilocuscus rufoniger,0,0,0,0,0,0,0
588,Spilocuscus wilsoni,0,0,0,0,0,0,0
589,Spilornis cheela,0,0,4,8,0,0,0
590,Spilornis kinabaluensis,2,0,0,0,0,0,0
591,Spinaria spinator,0,0,0,0,0,0,0
592,Stachyris rufifrons,0,0,0,0,0,0,0
593,Stagmomantis Carolina,0,0,0,0,0,0,0
594,Statmimanthis,0,0,0,0,0,0,0
595,Sterna albifrons,0,0,1,0,0,0,345
596,Sterna dougallii,0,0,0,0,0,0,0
597,Sterna hirundo,0,0,0,0,0,0,0
598,Sterna paradisaea,0,0,0,0,0,0,0
600,Streptopelia chinensis,0,0,6,14,0,0,0
601,Sturnidae sp,0,0,0,0,0,0,0
602,Sus scrofa,0,1,0,0,9,3,20
603,Susica Pallida,0,0,0,0,0,0,0
604,Syma torotoro,0,0,0,0,0,0,2
605,Symphalangus syndactylus,0,0,0,0,0,0,0
606,Synbranchidae,0,0,0,0,0,0,0
607,Tabanidae,0,0,0,0,0,0,0
608,Tadorna radjah,0,0,0,0,0,0,28
609,Takydromus sexlineatus,0,0,0,0,0,0,0
610,Talegalla cuvieri,0,0,0,0,0,1,1
611,Talegalla jobiensis,0,0,0,0,0,0,0
612,Tarantula putih,0,0,0,0,0,0,0
613,Tarsius bancanus ssp. saltator,0,0,2,0,0,0,0
614,Tephrodornis gularis,0,0,0,0,0,0,0
615,Threskiornis aethiopicus,0,0,0,0,0,0,2
616,Thylogale brunii,0,0,0,0,2,0,0
617,Tikus,0,0,0,0,0,0,0
618,Tiliqua scincoides,0,0,0,0,0,3,0
619,Todhramphus chloris,1,0,0,0,0,0,0
620,Todiramphus sanctus,0,0,0,0,0,4,0
621,Tokek,0,0,0,0,0,0,0
622,Toxorhamphus novaeguineae,0,0,0,0,0,8,0
623,Toxotes sp.,0,0,0,0,0,0,0
624,Trachypithecus cristatus,0,0,2,0,0,0,0
625,Trachypithecus sp,0,0,0,0,0,0,0
626,Treron capellei,0,0,0,0,0,0,0
627,Treron curvirostra,0,0,0,0,0,0,0
628,Treron olax,1,1,0,0,0,0,0
629,Treron sp,0,0,0,0,0,0,0
630,Treron vernans,0,0,1,0,0,0,0
631,Trichogaster pectoralis,0,0,0,0,0,0,0
632,Trichogaster Sp,0,0,0,0,0,0,0
633,Trichoglossus haematodus,0,0,0,0,5,15,12
634,Trichoglossus moluccanus,0,0,0,0,0,0,0
635,Trigoniulus corallinus,0,0,0,0,0,0,0
636,Triguna,0,0,0,0,0,0,0
637,Trimeresurus insularis,0,0,0,0,0,0,0
638,Tringa glareola,0,0,0,0,0,0,1
639,Tringa nebularia,0,0,0,0,0,0,0
640,Tringa stagnatilis,0,0,0,0,0,0,0
641,troides amphrysus,0,0,0,0,0,0,0
642,Tropidolaemus subannulatus,0,0,2,0,0,0,0
643,Tupaia glis,1,0,0,0,0,0,0
644,Tupaia gracilis,0,0,0,0,0,0,0
645,Tupaia minor,0,2,0,0,0,0,0
646,Tupaia montana,0,0,0,0,0,0,0
647,Tupaia picta,0,0,0,0,0,0,0
648,Tupaia tana,0,0,23,0,0,0,0
649,Tyto alba,0,0,1,0,0,0,0
650,Tyto tenebricosa,0,0,0,0,0,0,0
651,Ular,0,0,0,0,0,0,0
652,"Ular ( warna kuning blang"")",0,0,0,0,1,0,0
653,Ular Cobra Hitam Kuning,0,0,0,0,0,0,0
654,Ular daun,0,0,0,0,0,0,0
655,Ular Hitam,0,0,0,0,1,0,0
656,Ular hitam pendek,0,0,0,0,0,0,0
657,Ular kaki empat,0,0,0,0,0,0,0
658,Ular mata tengkalang,0,0,0,0,0,0,0
659,Ular Panas Keladan,0,0,0,0,0,0,0
660,Ular putih,0,0,0,0,0,0,0
661,Ular Python,0,0,0,0,0,0,0
662,Ular Sawa,9,1,0,0,0,0,0
663,Ulat Api,0,0,0,0,0,0,0
664,Ulat Bulu,0,0,0,0,0,0,0
665,Ulat Kupu-Kupu,0,0,0,0,0,0,0
666,Ulat merah Putih,0,0,0,0,0,0,0
667,Ulat pemakan Daun,0,0,0,0,0,0,0
668,Urodynamis taitensis,0,0,0,0,0,0,0
669,Valanga Nigricornis,0,0,0,0,0,0,0
670,Varanus lirungensis,0,0,0,0,0,0,1
671,Varanus prasinus,0,0,0,0,0,0,0
672,Varanus salvadorii,0,0,0,0,0,6,0
673,Varanus salvator,7,4,99,1,0,0,4
674,Varanus sp.,0,0,0,0,1,0,0
675,Various,0,0,0,0,0,0,0
676,Vespa affinis,0,0,0,0,0,0,0
677,Vespa ffinis,0,0,0,0,0,0,0
678,Waigeo cuscus,0,0,0,0,0,0,0
679,Wallago sp,0,0,0,0,0,0,0
680,Wayang,0,0,0,0,0,0,0
681,Xanthotis flaviventer,0,0,0,0,0,4,0
682,Ypthima fasciata,0,0,0,0,0,0,0
683,Zanclostomus javanicus,0,0,0,0,0,0,0
684,Zapornia pusilla,0,0,0,0,0,0,2
