Nama.Latin,ANJA,ANJAS,SMM,KAL,PMP,PPM,ANJAP
Acanthophis laevis,0,0,0,0,0,2,0
Accipiter cirrocephalus,0,0,0,0,0,0,0
Accipiter gularis,0,0,6,0,0,0,0
Accipiter novaehollandiae,0,0,0,0,1,9,16
Accipiter poliocephalus,0,0,0,0,0,0,0
Aceros undulatus,0,0,0,0,0,0,0
Acridotheres javanicus,0,0,0,13,0,0,0
Acridotheres tristis,0,0,0,0,0,0,0
Acrochordus cf. arafurae,0,0,0,0,0,0,0
Actenoides concretus,0,0,0,0,0,0,0
Actitis hypoleucos,0,0,0,0,0,0,11
Aegithina tiphia,0,2,0,0,0,0,0
Aegithina viridissima,0,1,0,0,0,0,0
Aethopyga siparaja,0,0,0,0,0,0,0
Ahaetulla prasina,0,0,0,0,0,0,0
Alap-Alap,0,0,0,0,0,0,0
Alcedo atthis,0,3,0,0,0,0,0
Alcedo azurea,0,0,0,0,0,0,1
Alcedo coerulescens,0,4,19,0,0,0,0
Alcedo meninting,0,0,1,22,0,0,0
Alcedo pusilla,0,0,0,0,0,0,0
Alophoixus ochraceus,0,0,0,0,0,0,0
Amatthusia Phidippus,0,0,0,0,0,0,0
Amaurornis cinerea,0,0,0,0,0,0,0
Amaurornis moluccana,0,0,0,0,0,0,0
Amaurornis olivaceus,0,0,0,0,0,0,0
Amaurornis phoenicurus,1,0,12,11,0,0,0
Ameles decolor,0,0,0,0,0,0,0
Anabas testudineus,0,0,0,0,0,0,0
Anak Burung,0,0,0,0,0,0,0
Anas gibberifrons,0,0,0,0,0,0,0
Ancistroides nigrita,0,0,0,0,0,0,0
Ancylis albacostana,0,0,0,0,0,0,0
Anhinga melanogaster,0,0,0,0,0,0,0
Anorrhinus galeritus,0,0,0,0,0,0,0
Anthracoceros albirostris,0,6,0,0,0,0,0
Anthracoceros malayanus,0,0,5,3,0,0,0
Anthracoceros sp,0,0,0,0,0,0,0
Anthreptes malacensis,0,0,0,1,0,0,0
Anthreptes rhodolaemus,0,0,0,0,0,0,0
Anthreptes simplex,0,0,0,0,0,0,0
Anthreptes singalensis,0,1,0,0,0,0,0
Anthroloceros Malayanus,0,0,0,0,0,0,0
Apis andreniformis,0,0,0,0,0,0,0
Apis sp,0,0,0,0,0,0,0
Aplonis cantoroides,0,0,0,0,0,0,0
Aplonis magna,0,0,0,0,0,67,0
Aplonis metallica,0,0,0,0,0,0,291
Aplonis panayensis,0,0,0,0,0,0,0
Apodemus sylvaticus,0,0,0,0,0,3,0
Apodora papuana,0,0,0,0,1,0,0
Apus pacificus,0,0,0,0,0,0,0
Arachnothera longirostra,0,1,0,0,0,0,0
Ardea alba,0,0,0,0,2,8,1
Ardea purpurea,3,0,2,0,0,0,0
Ardea sumatrana,0,0,0,0,0,0,0
Ardeola bacchus,0,0,0,0,0,0,0
Ardeola speciosa,0,0,0,0,0,0,0
Argusianus argus,0,0,0,1,0,0,0
Aromia Moschata,0,0,0,0,0,0,0
Arses telescophthalmus,0,0,0,0,0,0,0
Artamus leucorynchus,1,0,0,0,0,0,0
Athyma perius,0,0,0,0,0,0,0
Attacus atlas,0,1,0,0,0,0,0
Aviceda subcristata,0,0,0,0,0,7,2
Bajing,0,0,0,0,0,0,0
Bangau,0,5,0,0,0,0,0
Batrachostomus stellatus,0,0,0,0,0,0,0
Belalang Mantthis,0,0,0,0,0,0,0
Belibis,0,0,0,0,0,0,0
Berang-Berang,0,0,0,2,0,0,0
Boiga dendrophila,0,1,0,0,0,0,0
Broghammerus timorensis,0,0,0,0,0,0,0
Bronchocela jubata,0,0,0,1,0,0,0
Bubulcus ibis,0,0,8,0,0,0,0
Buceros bicornis,0,0,0,0,0,0,0
Buceros rhinoceros,0,10,0,5,0,0,0
Bungarus candidus,0,0,0,0,0,0,0
Burung Bubut,2,0,0,0,0,0,0
Burung Cucur Udang,0,0,0,0,0,0,0
Burung elang,0,0,0,0,1,0,0
Burung Elang,0,0,0,0,0,0,0
Burung Hantu,0,1,0,0,2,0,0
Burung Jalak,0,0,0,0,0,0,0
Burung Nuri,0,0,0,0,0,0,0
Burung pelatuk ,0,0,0,0,0,0,0
Burung warna putih,0,0,0,0,0,0,0
Butastur liventer,0,0,0,0,0,0,0
Butorides striatus,0,0,0,0,0,0,0
Cacatua galerita,0,0,0,0,4,0,63
Cacatua sp,0,0,0,0,0,0,0
Cacatua sulphurea,0,0,0,0,0,19,0
Cacomantis merulinus,0,0,0,0,0,0,0
Cacomantis sepulcralis,0,0,0,0,0,0,0
Cacomantis sonneratii,0,1,0,0,0,0,0
Cacomantis variolosus,0,0,0,0,0,0,1
Calidaris alba,0,0,0,0,0,0,0
Callosciurus notatus,0,0,0,0,0,0,0
Callosciurus prevostii,0,0,0,4,0,0,0
Calloselasma rhodostoma,0,0,0,0,0,0,0
Calotes sp,0,0,0,0,0,0,0
Candoia aspera,0,0,0,0,0,0,0
Capung,0,0,0,0,0,0,1
Capung Cokelat Bata,0,0,0,0,0,0,0
Carlia fusca,0,1,0,0,0,4,0
Carterocephalus palaemon,0,0,0,0,0,0,0
Casuarius casuarius,0,0,0,0,9,0,5
Casuarius unappendiculatus,0,0,0,0,0,0,0
Cekarang Belukar,0,0,0,0,0,0,0
Celeus brachyurus,0,0,0,0,0,0,0
Centropus bengalensis,0,1,0,0,0,0,0
Centropus bernsteini,0,0,0,0,0,1,12
Centropus rectunguis,0,0,0,0,0,0,0
Centropus sinensis,0,0,0,14,0,0,0
Cercopithecidae,0,0,0,0,0,0,0
Cervus timorensis,0,0,0,0,11,0,3
cethosia penthesilea,0,1,0,0,0,0,0
Ceyx rufidorsa,0,0,0,0,0,0,0
Chalcites ruficollis,0,0,0,0,0,0,0
Chalcophaps indica,0,1,1,0,0,0,0
Chalcophaps stephani,0,0,0,0,0,0,1
Chalcopsitta atra,0,0,0,0,3,66,45
Channa micropeltes,0,0,0,0,0,0,0
Channa striata,0,0,0,0,0,0,0
Charmosyna papou,0,0,0,0,0,0,0
Charmosyna placentis,0,0,0,0,0,0,61
Charmosyna rubrigularis,0,0,0,0,0,0,0
Chersonesia rahria,0,0,0,0,0,0,0
Chilopoda,0,0,0,0,0,0,0
Chlidonias hybridus,0,0,0,0,0,0,3
Chloropsis cochinchinensis,0,0,0,0,0,0,0
Chloropsis cyanopogon,0,1,0,0,0,0,0
Chloropsis sonnerati,0,4,0,0,0,0,0
Chrysococcyx ruficollis,0,0,0,0,0,0,0
Chrysopelea paradisi,0,0,0,0,0,0,0
Chrysophlegma miniaceum,0,0,0,0,0,0,0
Ciconia ciconia,17,0,0,0,0,0,0
Ciconia episcopus,0,1,0,0,0,0,0
Ciconiidae 1,0,0,0,0,0,0,0
Ciconiidae sp,0,0,0,0,0,0,0
Cinnyris jugularis,0,0,1,0,0,2,2
Clarias sp,0,0,0,0,0,0,0
Cocomantis flabeliformis,0,0,0,0,0,0,2
Coelagnatus Radiatus,0,0,0,0,0,0,0
Collocalia esculenta,1,0,0,0,0,7,2
Collocalia Maxima,0,0,0,0,0,0,0
Colluricinclam megarhyncha,0,0,0,0,0,0,0
Colossoma macropomum,0,0,0,0,0,0,0
Columba livia,4,0,0,0,0,0,0
Common sp,0,0,0,0,0,0,0
Copsychus malabaricus,0,0,0,0,0,0,0
Copsychus saularis,0,5,0,0,0,0,0
Coracina melaena,0,0,0,0,0,0,0
Coracina papuensis,0,0,0,0,0,18,5
Corvus enca,0,2,0,30,0,0,0
Cosymbotus platyurus,0,0,0,0,0,0,0
Coturnix chinensis,0,0,10,0,0,0,0
Craseonycteris thonglongyai,0,0,0,0,0,0,3
Crateroscelis muriana,0,0,0,0,0,0,1
Crocodylus novaeguineae,0,0,0,0,7,0,0
Crocodylus porosus,0,0,0,0,0,0,0
Crocothemis servilia,0,0,0,0,0,0,0
Cucak Ijo,0,0,0,0,0,0,0
Cucak Ijo Besar,0,0,0,0,0,0,0
Cuculus saturatus,0,0,0,0,0,1,0
Cuora amboinensis,0,0,0,0,0,0,0
Cuora amboinensis couro,2,0,0,0,0,0,0
Cuora amboninensis,0,0,0,0,0,0,0
Cyclopsitta diophthalma,0,0,0,0,0,0,42
Cyclopsitta gulielmitertii,0,0,0,0,0,0,5
Cymbirhynchus macrorhynchos,0,0,0,0,0,0,0
Cynopterus titthaecheilus,0,0,0,0,0,0,2
Dacelo gaudichaud,0,0,0,0,0,1,18
Danaidae,0,0,0,0,0,0,0
Daphnis hypothous,0,0,0,0,0,0,0
dari Famili Junonia,0,0,0,0,0,0,0
Dasia olivacea,0,0,0,0,0,0,1
Delichon dasypus,0,0,0,0,0,0,0
Dendrelaphis caudolineatus,0,0,0,0,0,0,0
Dendrelaphis pictus,0,0,1,0,0,0,2
Dendrocopos moluccensis,0,0,0,0,0,0,0
Dendrocygna arcuata,0,0,0,0,0,0,0
Dendrocygna guttata,0,0,0,0,3,26,340
Dendrocygna javanica,0,1,2,0,0,0,0
Dendrocygna sp,0,0,0,0,0,0,0
Dendrocygna eytoni,0,0,0,0,0,0,0
Dicaeum ignipectus,0,0,0,0,0,0,0
Dicaeum pectorale,0,0,0,0,0,0,11
Dicaeum trigonostigma,0,1,0,0,0,0,0
Dicrurus bracteatus,0,0,0,0,0,0,0
Dicrurus hottentottus,0,0,0,0,0,15,13
Dicrurus Leucophaeus,0,0,0,0,0,0,0
Dicrurus paradiseus,0,1,0,1,0,0,0
Dicrurus sp,0,0,0,0,0,0,0
Dicrurus sumatranus,0,8,0,0,0,0,0
Dinopium javanense,0,0,0,0,0,0,0
Diplacodes trivialis ,0,0,0,4,0,0,0
Dogania subplana,0,0,0,0,0,0,0
Doleschallia bisaltide ,0,0,0,0,0,0,0
Dorcopsis muelleri,0,0,0,0,0,0,0
Draco volans,0,0,0,0,0,0,0
Dryocopus javensis,0,2,0,0,0,0,0
Ducula aenea,0,0,0,1,0,0,0
Ducula chalconota,0,0,0,0,0,0,0
Ducula pinon,0,0,0,0,0,16,46
Ducula zoeae,0,0,0,0,0,1,6
Duttaphrynus melanostictus,0,1,0,0,0,0,0
Eclectus roratus,0,0,0,0,0,17,38
Eclectus sp,0,0,0,0,0,0,0
Edolisoma schisticeps,0,0,0,0,0,0,0
Egretta alba,0,0,0,0,4,0,0
Egretta eulophotes,0,0,31,0,0,0,0
Egretta garzetta,0,0,0,13,0,0,0
Egretta intermedia,0,0,0,0,0,30,23
Egretta sacra,0,0,0,0,0,2,2
Elang,0,0,0,0,2,0,0
Elanus caeruleus,0,0,27,17,0,0,0
Emoia caeruleocauda,0,0,0,0,0,0,0
Emydura subglobosa,0,0,0,0,1,0,0
Epicauta Hirticornis,0,0,0,0,0,0,0
Eudynamys scolopaceus,0,0,0,0,0,0,0
euploea crameri,0,1,0,0,0,0,0
Eurema blanda,0,0,0,5,0,0,0
Eurostopodus archboldi,0,0,0,0,0,0,0
Eurostopodus papuensis,0,0,0,0,0,0,0
Eurylaimus ochromalus,0,1,0,0,0,0,0
Eurystomus orientalis,0,0,0,5,0,12,0
Euthysanius,0,0,0,0,0,0,0
Eutropis multifasciata,0,0,1,0,0,0,0
Exobrucus  sinensis,0,0,0,0,0,0,0
Falco peregrinus,0,0,0,0,0,0,0
Gallus gallus,0,0,0,0,0,0,0
Gecko Gecko,0,0,0,0,0,0,0
Gekko monarchus,0,0,0,0,0,0,0
Gekko smithii,0,1,0,0,0,0,0
Gekko vittatus,0,0,0,0,1,0,0
Gekkonidae,0,0,0,0,0,0,0
Gelochelidon nilotica,0,0,0,0,0,0,2
Geoffroyus geoffroyi,0,0,0,0,5,27,66
Geopelia striata,5,1,0,0,0,0,0
Glareola maldivarum,0,0,0,0,0,0,0
Glossogobius giuris,0,0,0,0,0,0,0
Golden Massher,0,0,0,0,0,0,0
Goura cristata,0,0,0,0,2,0,4
Gracula religiosa,0,8,0,2,0,0,0
Gracupica contra,0,0,0,11,0,0,0
Halcyon smyrnensis,2,0,123,0,0,0,0
Haliaeetus leucogaster,0,0,0,0,0,1,0
Haliastur indus,0,0,0,0,1,28,21
Haliastur Sphenurus,0,0,0,0,0,6,0
Hapithus agigator,0,0,0,0,0,0,0
Harpactes erythrocephalus,0,0,0,0,0,0,0
Harpyopsis novaeguineae,0,0,0,0,0,0,1
Hemipus hirundinaceus,0,0,0,0,0,0,0
Henicopernis longicauda,0,0,0,0,0,0,0
Heosemys spinosa,0,0,0,0,0,0,0
Hierodula vitrea,0,0,0,0,0,0,0
Hirundo rustica,0,0,0,0,0,0,3
Hirundo sp,0,0,0,0,0,0,0
Hirundo tahitica,0,0,5,27,0,0,0
Homolopsis buccata,0,0,0,0,0,0,0
Hydroprogne caspia,0,0,0,0,0,0,0
Hydrosaurus amboinensis,0,0,0,0,0,6,0
Hydrosaurus weberi,0,0,0,0,0,0,0
Hylobates agilis,0,0,0,0,0,0,0
Hylobates albibarbis,0,0,0,20,0,0,0
Hypolimnas Bolina,0,0,0,0,0,0,0
Hypsiscopus Plumbea,0,0,0,0,0,0,0
Hystrix brachyura,0,0,0,0,0,0,0
Ichthyophaga ichthyaetus,0,1,0,0,0,0,0
Ichtyopaga Humilis,0,0,0,0,0,0,0
Ictinaetus malaiensis,0,0,0,0,0,0,0
Ictinaetus malayensis,0,17,4,0,0,0,0
Ikan bubara,0,0,0,0,0,0,1
Ikan lele,0,0,0,0,0,0,0
Imbo,0,0,0,0,0,0,0
Irena puella,0,0,0,0,0,0,0
Iris oratoria,0,0,0,0,0,0,0
Isoodon macrourus,0,0,0,0,0,0,0
Ixobrychus flavicollis,0,0,0,0,0,0,0
Jalak kelabu,0,5,0,0,0,0,0
Jangkrik,0,0,0,0,0,0,0
Junonia Hylas,0,0,0,0,0,0,0
K galam,0,0,0,0,0,0,0
Kadal,0,0,0,0,0,0,0
Kadal putih,0,0,0,0,0,0,0
Kalajengking,0,1,0,0,0,0,0
Kalelawar,0,0,0,0,0,0,0
Kecoa,0,0,0,0,0,0,0
Kelabang,0,1,0,0,0,0,0
Kengkareng,0,0,0,0,0,0,0
kengkurung ,0,0,0,0,0,0,0
Kepompong,0,0,0,0,0,0,0
Ketupa ketupu,0,0,0,0,0,0,0
Kucing Hutan,0,0,0,0,0,0,0
Kumbang,0,0,0,0,0,0,0
Kumbang Hitam,0,0,0,1,0,0,0
Kumbang Kepala Kuning,0,0,0,0,0,0,0
Kumbang Kepala Putih,0,0,0,0,0,0,0
Kuntul,0,0,0,0,0,0,0
Kupu -kupu dan capung,0,0,0,0,0,0,0
kupu-kupu,0,0,0,0,0,0,0
Kupu-kupu,0,0,0,0,0,0,0
Kupu-Kupu,0,0,0,0,0,0,0
Kupu-Kupu Cokelat Bulat-Bulat,0,0,0,0,0,0,0
Kupu-Kupu hitam Kuning,0,0,0,0,0,0,0
Kupu-Kupu Hitam Putih,0,0,0,0,0,0,0
Kupu-Kupu Hitam putih Biru,0,0,0,0,0,0,0
Kupu-Kupu Kuning,0,0,0,0,0,0,0
Kupu-Kupu Orange,0,0,0,0,0,0,0
Kupu-Kupu Putih,0,0,0,0,0,0,0
Kura-kura,0,0,0,0,0,0,0
